These are measured cable losses for the coaxial cable with part number:
ASMA500B174L13

Frequency,Factor
0.0,0.1723766
2500000.0,0.3804665
5000000.0,0.4662991
7500000.0,0.5477924
10000000.0,0.6133156
12500000.0,0.6537304
15000000.0,0.6778412
17500000.0,0.7045918
20000000.0,0.747612
22500000.0,0.8027096
25000000.0,0.8512115
27500000.0,0.8760033
30000000.0,0.8778172
32500000.0,0.8743324
35000000.0,0.8856945
37500000.0,0.9210129
40000000.0,0.9653969
42500000.0,0.9988632
45000000.0,1.005976
47500000.0,0.9944782
50000000.0,0.9850159
52500000.0,0.9959507
55000000.0,1.027699
57500000.0,1.063639
60000000.0,1.086262
62500000.0,1.091255
65000000.0,1.091774
67500000.0,1.100693
70000000.0,1.12468
72500000.0,1.156857
75000000.0,1.186686
77500000.0,1.206095
80000000.0,1.215483
82500000.0,1.223995
85000000.0,1.235283
87500000.0,1.254665
90000000.0,1.277439
92500000.0,1.299717
95000000.0,1.317795
97500000.0,1.331383
100000000.0,1.343372
102500000.0,1.356665
105000000.0,1.37149
107500000.0,1.387302
110000000.0,1.402908
112500000.0,1.417812
115000000.0,1.430359
117500000.0,1.443733
120000000.0,1.458523
122500000.0,1.472841
125000000.0,1.487766
127500000.0,1.498577
130000000.0,1.508207
132500000.0,1.517859
135000000.0,1.53072
137500000.0,1.546202
140000000.0,1.56189
142500000.0,1.573727
145000000.0,1.582586
147500000.0,1.589954
150000000.0,1.597126
152500000.0,1.609098
155000000.0,1.623978
157500000.0,1.640097
160000000.0,1.655386
162500000.0,1.668079
165000000.0,1.678898
167500000.0,1.686865
170000000.0,1.693806
172500000.0,1.702269
175000000.0,1.715588
177500000.0,1.733452
180000000.0,1.754162
182500000.0,1.768559
185000000.0,1.772844
187500000.0,1.768299
190000000.0,1.762268
192500000.0,1.767212
195000000.0,1.788445
197500000.0,1.815487
200000000.0,1.836296
202500000.0,1.835636
205000000.0,1.816748
207500000.0,1.795044
210000000.0,1.792641
212500000.0,1.818367
215000000.0,1.859814
217500000.0,1.894814
220000000.0,1.899376
222500000.0,1.873116
225000000.0,1.836086
227500000.0,1.821182
230000000.0,1.843559
232500000.0,1.894852
235000000.0,1.943947
237500000.0,1.962011
240000000.0,1.941977
242500000.0,1.905558
245000000.0,1.885273
247500000.0,1.907013
250000000.0,1.965424
252500000.0,2.028957
255000000.0,2.064644
257500000.0,2.059994
260000000.0,2.029739
262500000.0,2.00766
265000000.0,2.022686
267500000.0,2.077248
270000000.0,2.14431
272500000.0,2.188103
275000000.0,2.193592
277500000.0,2.170486
280000000.0,2.150455
282500000.0,2.162716
285000000.0,2.209213
287500000.0,2.271358
290000000.0,2.318565
292500000.0,2.332729
295000000.0,2.318329
297500000.0,2.29628
300000000.0,2.28994
302500000.0,2.305794
305000000.0,2.334103
307500000.0,2.359825
310000000.0,2.370377
312500000.0,2.367294
315000000.0,2.358444
317500000.0,2.353153
320000000.0,2.355415
322500000.0,2.359196
325000000.0,2.363342
327500000.0,2.367096
330000000.0,2.37244
332500000.0,2.380028
335000000.0,2.386314
337500000.0,2.383816
340000000.0,2.374596
342500000.0,2.36272
345000000.0,2.361183
347500000.0,2.374954
350000000.0,2.401363
352500000.0,2.427055
355000000.0,2.438068
357500000.0,2.429924
360000000.0,2.41127
362500000.0,2.400742
365000000.0,2.412964
367500000.0,2.444561
370000000.0,2.47998
372500000.0,2.499512
375000000.0,2.496132
377500000.0,2.479519
380000000.0,2.470367
382500000.0,2.487766
385000000.0,2.531216
387500000.0,2.580544
390000000.0,2.611015
392500000.0,2.61261
395000000.0,2.592651
397500000.0,2.576229
400000000.0,2.583679
402500000.0,2.616508
405000000.0,2.66087
407500000.0,2.690289
410000000.0,2.693665
412500000.0,2.675507
415000000.0,2.656193
417500000.0,2.651382
420000000.0,2.665646
422500000.0,2.687634
425000000.0,2.700138
427500000.0,2.697929
430000000.0,2.688343
432500000.0,2.681992
435000000.0,2.691109
437500000.0,2.708767
440000000.0,2.723038
442500000.0,2.722881
445000000.0,2.709763
447500000.0,2.695511
450000000.0,2.695198
452500000.0,2.709946
455000000.0,2.730385
457500000.0,2.739597
460000000.0,2.730717
462500000.0,2.710682
465000000.0,2.696854
467500000.0,2.706177
470000000.0,2.735901
472500000.0,2.770561
475000000.0,2.788059
477500000.0,2.779396
480000000.0,2.756538
482500000.0,2.742283
485000000.0,2.757465
487500000.0,2.799603
490000000.0,2.8479
492500000.0,2.876835
495000000.0,2.873863
497500000.0,2.850895
500000000.0,2.831566
502500000.0,2.84407
505000000.0,2.887955
507500000.0,2.94561
510000000.0,2.983788
512500000.0,2.98877
515000000.0,2.965981
517500000.0,2.944016
520000000.0,2.947685
522500000.0,2.985603
525000000.0,3.039978
527500000.0,3.083572
530000000.0,3.095276
532500000.0,3.076511
535000000.0,3.048981
537500000.0,3.033581
540000000.0,3.045944
542500000.0,3.076134
545000000.0,3.105446
547500000.0,3.116333
550000000.0,3.108864
552500000.0,3.092926
555000000.0,3.083847
557500000.0,3.090683
560000000.0,3.108715
562500000.0,3.12579
565000000.0,3.13166
567500000.0,3.124763
570000000.0,3.112373
572500000.0,3.107349
575000000.0,3.11145
577500000.0,3.123096
580000000.0,3.133949
582500000.0,3.137951
585000000.0,3.13633
587500000.0,3.133663
590000000.0,3.136223
592500000.0,3.147072
595000000.0,3.163273
597500000.0,3.177277
600000000.0,3.183434
602500000.0,3.182182
605000000.0,3.177361
607500000.0,3.177372
610000000.0,3.186878
612500000.0,3.205166
615000000.0,3.225235
617500000.0,3.23999
620000000.0,3.242142
622500000.0,3.233734
625000000.0,3.224968
627500000.0,3.225235
630000000.0,3.24192
632500000.0,3.272476
635000000.0,3.299141
637500000.0,3.308907
640000000.0,3.294983
642500000.0,3.267422
645000000.0,3.242264
647500000.0,3.244545
650000000.0,3.275246
652500000.0,3.319786
655000000.0,3.350418
657500000.0,3.34692
660000000.0,3.310757
662500000.0,3.26638
665000000.0,3.2481
667500000.0,3.270405
670000000.0,3.325523
672500000.0,3.380257
675000000.0,3.399323
677500000.0,3.369579
680000000.0,3.31134
682500000.0,3.264465
685000000.0,3.267563
687500000.0,3.322319
690000000.0,3.398293
692500000.0,3.449459
695000000.0,3.44635
697500000.0,3.393589
700000000.0,3.33168
702500000.0,3.307636
705000000.0,3.349575
707500000.0,3.43568
710000000.0,3.518906
712500000.0,3.550369
715000000.0,3.519127
717500000.0,3.448219
720000000.0,3.390923
722500000.0,3.392517
725000000.0,3.460114
727500000.0,3.552673
730000000.0,3.619202
732500000.0,3.622402
735000000.0,3.569267
737500000.0,3.504593
740000000.0,3.480995
742500000.0,3.525635
745000000.0,3.618225
747500000.0,3.706078
750000000.0,3.741837
752500000.0,3.712196
755000000.0,3.645458
757500000.0,3.592693
760000000.0,3.597916
762500000.0,3.663383
765000000.0,3.748413
767500000.0,3.803177
770000000.0,3.799911
772500000.0,3.751251
775000000.0,3.697933
777500000.0,3.688301
780000000.0,3.739479
782500000.0,3.822739
785000000.0,3.890427
787500000.0,3.903923
790000000.0,3.86182
792500000.0,3.796356
795000000.0,3.752914
797500000.0,3.762722
800000000.0,3.817741
802500000.0,3.879848
805000000.0,3.909126
807500000.0,3.888603
810000000.0,3.83181
812500000.0,3.774986
815000000.0,3.752338
817500000.0,3.767487
820000000.0,3.802383
822500000.0,3.826363
825000000.0,3.819382
827500000.0,3.788109
830000000.0,3.750721
832500000.0,3.729229
835000000.0,3.731079
837500000.0,3.748199
840000000.0,3.762615
842500000.0,3.761677
845000000.0,3.746819
847500000.0,3.730194
850000000.0,3.72213
852500000.0,3.729301
855000000.0,3.742538
857500000.0,3.754425
860000000.0,3.756702
862500000.0,3.753326
865000000.0,3.74749
867500000.0,3.747551
870000000.0,3.757507
872500000.0,3.772697
875000000.0,3.785736
877500000.0,3.795296
880000000.0,3.799999
882500000.0,3.804489
885000000.0,3.811558
887500000.0,3.823532
890000000.0,3.839943
892500000.0,3.856979
895000000.0,3.870682
897500000.0,3.880306
900000000.0,3.884075
902500000.0,3.885399
905000000.0,3.886013
907500000.0,3.891708
910000000.0,3.904568
912500000.0,3.922379
915000000.0,3.935936
917500000.0,3.939991
920000000.0,3.932598
922500000.0,3.923107
925000000.0,3.922737
927500000.0,3.938377
930000000.0,3.966606
932500000.0,3.991657
935000000.0,3.997177
937500000.0,3.978035
940000000.0,3.947964
942500000.0,3.931236
945000000.0,3.941879
947500000.0,3.979614
950000000.0,4.023895
952500000.0,4.044914
955000000.0,4.0317
957500000.0,3.995415
960000000.0,3.964684
962500000.0,3.968842
965000000.0,4.012939
967500000.0,4.073441
970000000.0,4.115341
972500000.0,4.112808
975000000.0,4.076241
977500000.0,4.032356
980000000.0,4.021942
982500000.0,4.059563
985000000.0,4.127758
987500000.0,4.187195
990000000.0,4.208149
992500000.0,4.185246
995000000.0,4.143982
997500000.0,4.119289
1000000000.0,4.137566
1002500000.0,4.190826
1005000000.0,4.247894
1007500000.0,4.276913
1010000000.0,4.263474
1012500000.0,4.223572
1015000000.0,4.190891
1017500000.0,4.189568
1020000000.0,4.222172
1022500000.0,4.270569
1025000000.0,4.304298
1027500000.0,4.307686
1030000000.0,4.284969
1032500000.0,4.254288
1035000000.0,4.23933
1037500000.0,4.246361
1040000000.0,4.266975
1042500000.0,4.28326
1045000000.0,4.284721
1047500000.0,4.271706
1050000000.0,4.252277
1052500000.0,4.241737
1055000000.0,4.245644
1057500000.0,4.26199
1060000000.0,4.280914
1062500000.0,4.292572
1065000000.0,4.295403
1067500000.0,4.291817
1070000000.0,4.284958
1072500000.0,4.279907
1075000000.0,4.27705
1077500000.0,4.279881
1080000000.0,4.283314
1082500000.0,4.288628
1085000000.0,4.294136
1087500000.0,4.297569
1090000000.0,4.301144
1092500000.0,4.304722
1095000000.0,4.310303
1097500000.0,4.321663
1100000000.0,4.335609
1102500000.0,4.348919
1105000000.0,4.36216
1107500000.0,4.367294
1110000000.0,4.367287
1112500000.0,4.363083
1115000000.0,4.359783
1117500000.0,4.358803
1120000000.0,4.365196
1122500000.0,4.37344
1125000000.0,4.379791
1127500000.0,4.387726
1130000000.0,4.393887
1132500000.0,4.395805
1135000000.0,4.398945
1137500000.0,4.402496
1140000000.0,4.408699
1142500000.0,4.414719
1145000000.0,4.426243
1147500000.0,4.432617
1150000000.0,4.435394
1152500000.0,4.431038
1155000000.0,4.422913
1157500000.0,4.419159
1160000000.0,4.426414
1162500000.0,4.443703
1165000000.0,4.465687
1167500000.0,4.481956
1170000000.0,4.486835
1172500000.0,4.481033
1175000000.0,4.471901
1177500000.0,4.475044
