Antenna factors for:

AB-900A biconical antenna
https://www.com-power.com/Ab900_Biconical_Antenna.html

Note that every AB-900A antenna will be different so you should
adjust these antenna factors for your particular antenna.

Frequency,Factor
25000000,11.66
30000000,12.48
35000000,11.6
40000000,10.39
45000000,9.68
50000000,9
55000000,10.32
60000000,10.24
65000000,10.99
70000000,8.59
75000000,6.89
80000000,5.77
85000000,6.08
90000000,8.11
95000000,9.94
100000000,10.75
105000000,10.76
110000000,11.21
115000000,12.15
120000000,14.13
125000000,14.25
130000000,12.47
135000000,11.74
140000000,11.95
145000000,12.4
150000000,13.8
155000000,11.49
160000000,10.81
165000000,10.99
170000000,12.27
175000000,14.9
180000000,15.29
190000000,14.58
200000000,16.77
210000000,16.18
220000000,15.18
230000000,17.83
240000000,16.12
250000000,14.71
260000000,17.43
270000000,17.39
280000000,17.16
290000000,20.01
300000000,18.52
